,birth year,locPoint
1250,1970.0,POINT (-73.97371465000001 40.7643971)
40,1988.0,POINT (-73.98338988 40.75038009)
68,1985.0,POINT (-73.98338988 40.75038009)
677,1986.0,POINT (-73.98338988 40.75038009)
811,1980.0,POINT (-73.98338988 40.75038009)
892,1978.0,POINT (-73.98338988 40.75038009)
949,1986.0,POINT (-73.98338988 40.75038009)
41,1983.0,POINT (-73.98776323 40.71269042)
456,1992.0,POINT (-73.98776323 40.71269042)
570,1992.0,POINT (-73.98776323 40.71269042)
736,1992.0,POINT (-73.98776323 40.71269042)
1112,1974.0,POINT (-73.98776323 40.71269042)
1123,1960.0,POINT (-73.98776323 40.71269042)
1150,1956.0,POINT (-73.98776323 40.71269042)
1151,1979.0,POINT (-73.98776323 40.71269042)
1184,1952.0,POINT (-73.98776323 40.71269042)
1471,1959.0,POINT (-73.98776323 40.71269042)
1725,1987.0,POINT (-73.98776323 40.71269042)
1917,1938.0,POINT (-73.98776323 40.71269042)
42,1988.0,POINT (-73.98990025000001 40.71427487)
188,1973.0,POINT (-73.98990025000001 40.71427487)
498,1980.0,POINT (-73.98990025000001 40.71427487)
531,1992.0,POINT (-73.98990025000001 40.71427487)
598,1966.0,POINT (-73.98990025000001 40.71427487)
599,1969.0,POINT (-73.98990025000001 40.71427487)
770,1985.0,POINT (-73.98990025000001 40.71427487)
1157,1979.0,POINT (-73.98990025000001 40.71427487)
1245,1970.0,POINT (-73.98990025000001 40.71427487)
1323,1968.0,POINT (-73.98990025000001 40.71427487)
1378,1997.0,POINT (-73.98990025000001 40.71427487)
1491,1946.0,POINT (-73.98990025000001 40.71427487)
1544,1975.0,POINT (-73.98990025000001 40.71427487)
1744,1984.0,POINT (-73.98990025000001 40.71427487)
1753,1980.0,POINT (-73.98990025000001 40.71427487)
1888,1988.0,POINT (-73.98990025000001 40.71427487)
1889,1988.0,POINT (-73.98990025000001 40.71427487)
1954,1985.0,POINT (-73.98990025000001 40.71427487)
43,1973.0,POINT (-73.98848395 40.74901271)
